_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.0031714830547571182,0.2870219647884369,0.04875381663441658,0.38788020610809326,0.3187915086746216,0.8255585171282291,0.7314667105674744,0.8303549885749817,0.15985801815986633,0.2751847207546234,0.8291685581207275,0.3806247115135193,0.7167266607284546,0.32802271842956543,0.13329681754112244,per_image_normalize_20251202_184818
643,0.0115347383543849,0.3268560469150543,0.2386215180158615,0.453697144985199,0.4386982321739197,0.7316234018653631,0.7579488158226013,0.8613362312316895,0.20412863790988922,0.3935639262199402,0.8784541487693787,0.46580085158348083,0.765092134475708,0.3861333727836609,0.1698937863111496,per_image_normalize_20251202_184818
966,0.0437205508351326,0.38020598888397217,0.2804936170578003,0.4840054214000702,0.5339829921722412,0.6998973097652197,0.7664321660995483,0.8724170327186584,0.2217027246952057,0.43871578574180603,0.8934622406959534,0.5248135924339294,0.7952245473861694,0.343748539686203,0.19715090095996857,per_image_normalize_20251202_184818
1289,0.064529649913311,0.41437819600105286,0.3298964202404022,0.5062633156776428,0.6450851559638977,0.6703206673264503,0.7675445079803467,0.8759689927101135,0.25526162981987,0.41453608870506287,0.9037360548973083,0.5573727488517761,0.8122363090515137,0.351544588804245,0.1893327385187149,per_image_normalize_20251202_184818
1612,0.31380942463874817,0.4491502642631531,0.33054882287979126,0.545074462890625,0.646686851978302,0.6455380925908685,0.7841549515724182,0.8738129138946533,0.28377586603164673,0.444541871547699,0.9041034579277039,0.5729020833969116,0.8199477791786194,0.4557192921638489,0.20681408047676086,per_image_normalize_20251202_184818
1935,0.20596660673618317,0.3582511842250824,0.3671034872531891,0.5394905805587769,0.6923328638076782,0.6365665830671787,0.7817819118499756,0.8650375604629517,0.29420730471611023,0.43581438064575195,0.9155255556106567,0.6744922399520874,0.8303962349891663,0.3755597770214081,0.21690787374973297,per_image_normalize_20251202_184818
2258,0.3473484218120575,0.4357643723487854,0.3834992051124573,0.5665948987007141,0.6898505091667175,0.6187409805133939,0.8017019629478455,0.8738325238227844,0.31571727991104126,0.453043133020401,0.9243559241294861,0.659334123134613,0.8498520255088806,0.3965494930744171,0.23488470911979675,per_image_normalize_20251202_184818
2581,0.5145975947380066,0.43221572041511536,0.4144742786884308,0.5944979190826416,0.7174869179725647,0.6227997466921806,0.8113924264907837,0.8740991950035095,0.3209652900695801,0.502202570438385,0.9259147047996521,0.6827815771102905,0.8422753810882568,0.4100615680217743,0.280005544424057,per_image_normalize_20251202_184818
2904,0.40858933329582214,0.5109739303588867,0.42358651757240295,0.5946783423423767,0.7045684456825256,0.6060973685234785,0.8041198253631592,0.8769509792327881,0.33705374598503113,0.5090300440788269,0.9274922609329224,0.7058002948760986,0.8416634202003479,0.47762778401374817,0.20336122810840607,per_image_normalize_20251202_184818
3227,0.47188037633895874,0.4091111123561859,0.4423679709434509,0.5884303450584412,0.7164162993431091,0.6271310206502676,0.7777878046035767,0.8756601214408875,0.36204880475997925,0.5217287540435791,0.9252195954322815,0.6846920847892761,0.856647789478302,0.36394280195236206,0.24209024012088776,per_image_normalize_20251202_184818
3550,0.6164727807044983,0.4367092251777649,0.45674556493759155,0.6133890151977539,0.7181657552719116,0.6186904557980597,0.7995980381965637,0.8734233379364014,0.3602147102355957,0.5425905585289001,0.925449013710022,0.7146909832954407,0.8584377765655518,0.37748849391937256,0.29407060146331787,per_image_normalize_20251202_184818
