_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.004742337390780449,0.24473541975021362,0.17532873153686523,0.36304140090942383,0.45343494415283203,0.8229535780847073,0.7278707027435303,0.871467113494873,0.15466229617595673,0.0,0.8348601460456848,0.33837342262268066,0.7648618817329407,0.045737430453300476,0.10346391797065735,no_weather_20251201_141101
643,0.00904574990272522,0.28267568349838257,0.2468734085559845,0.42690375447273254,0.539884090423584,0.726533442735672,0.746800422668457,0.8750978112220764,0.20552703738212585,0.0,0.8872599601745605,0.4621799886226654,0.7964295148849487,0.30083760619163513,0.19713705778121948,no_weather_20251201_141101
966,0.013310443609952927,0.3292272388935089,0.335151344537735,0.456432968378067,0.6083433628082275,0.6972829503938556,0.7535864114761353,0.8709623217582703,0.24680785834789276,0.0,0.895903468132019,0.5254445672035217,0.8188480734825134,0.32559314370155334,0.21045048534870148,no_weather_20251201_141101
1289,0.045294880867004395,0.3570516109466553,0.3511940836906433,0.4801553785800934,0.666617214679718,0.6589920707046986,0.7718830108642578,0.8728079199790955,0.25592637062072754,0.0,0.9080058336257935,0.557841956615448,0.8161401748657227,0.39650920033454895,0.2427474707365036,no_weather_20251201_141101
1612,0.04702728986740112,0.3894307315349579,0.3645433783531189,0.48918455839157104,0.6458020806312561,0.6599123785272241,0.7815291285514832,0.8693466186523438,0.27289602160453796,0.0,0.9138572812080383,0.6383610963821411,0.8337439298629761,0.3942476511001587,0.208613321185112,no_weather_20251201_141101
1935,0.16916270554065704,0.413872092962265,0.39231398701667786,0.508741557598114,0.6699519157409668,0.65080048982054,0.7659180164337158,0.8658936619758606,0.29410284757614136,0.0,0.9114682674407959,0.6410002708435059,0.8323026895523071,0.3961374759674072,0.26151666045188904,no_weather_20251201_141101
2258,0.2320546656847,0.39038994908332825,0.40077364444732666,0.5281389355659485,0.7083203792572021,0.6498217759653926,0.8002410531044006,0.8674677610397339,0.3260626792907715,0.0,0.9231464862823486,0.6878437995910645,0.8421344757080078,0.4436860978603363,0.24368450045585632,no_weather_20251201_141101
2581,0.16955281794071198,0.37566983699798584,0.4225306212902069,0.5340441465377808,0.7278820276260376,0.641574333421886,0.8118811845779419,0.8694548010826111,0.3439371883869171,0.0,0.9243809580802917,0.685693621635437,0.8285247683525085,0.5068264603614807,0.27623939514160156,no_weather_20251201_141101
2904,0.3840470016002655,0.39317190647125244,0.3753494918346405,0.5815315246582031,0.7267926335334778,0.6222363240085542,0.808611273765564,0.8733485341072083,0.33749327063560486,0.4249628186225891,0.9223308563232422,0.678378164768219,0.8459240198135376,0.49465495347976685,0.29484495520591736,no_weather_20251201_141101
3227,0.5139636397361755,0.41487985849380493,0.4438416659832001,0.6035171151161194,0.720836341381073,0.6144158327952027,0.8085855841636658,0.8740758299827576,0.34581315517425537,0.4815690815448761,0.9248564839363098,0.6919822096824646,0.8576537370681763,0.46219563484191895,0.30546873807907104,no_weather_20251201_141101
3550,0.4442153573036194,0.44146791100502014,0.4497416317462921,0.602505624294281,0.704753041267395,0.6195499156601727,0.8100382685661316,0.8702476620674133,0.348487913608551,0.491186261177063,0.9275449514389038,0.72255939245224,0.8571963906288147,0.4372302293777466,0.32790401577949524,no_weather_20251201_141101
3873,0.5080065727233887,0.4539145827293396,0.46412840485572815,0.6146261096000671,0.7141256928443909,0.5984473605640233,0.814795970916748,0.8797173500061035,0.33893007040023804,0.5375036597251892,0.9258114099502563,0.6987462043762207,0.8603478074073792,0.5042979717254639,0.2898133397102356,no_weather_20251201_141101
4196,0.5594005584716797,0.49705854058265686,0.4547543227672577,0.6139044761657715,0.7349830865859985,0.6217830469831824,0.8010643124580383,0.878114640712738,0.3592878580093384,0.5158087611198425,0.9273421764373779,0.7009481191635132,0.8620744943618774,0.4348617196083069,0.25505930185317993,no_weather_20251201_141101
