_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name
320,0.5076943039894104,0.6354220509529114,0.5149102807044983,0.6699361801147461,0.7321137189865112,0.28578089480288327,0.8092958927154541,0.8758230805397034,0.42239969968795776,0.6675257682800293,0.9357030391693115,0.7824404239654541,0.8643442988395691,0.57677161693573,0.3847261965274811,0.14740489423274994,ptl_focal_objectosphere_20251210_060311
643,0.45733213424682617,0.6321247816085815,0.5188899636268616,0.666921079158783,0.7345069050788879,0.2674342659302056,0.8036687970161438,0.8771960139274597,0.41987308859825134,0.6826214790344238,0.9361048936843872,0.7897692322731018,0.8706765174865723,0.556934654712677,0.39027440547943115,0.18989677727222443,ptl_focal_objectosphere_20251210_060311
966,0.4296875,0.6317797899246216,0.5264040231704712,0.6658564805984497,0.745538055896759,0.25887027638964355,0.8071509003639221,0.8778992295265198,0.4198983311653137,0.6761137843132019,0.9359797835350037,0.7867953777313232,0.8710675239562988,0.5672176480293274,0.38060224056243896,0.2634546458721161,ptl_focal_objectosphere_20251210_060311
1289,0.46778807044029236,0.6267845034599304,0.524594247341156,0.6667333245277405,0.7574191689491272,0.2475640745833516,0.8022260665893555,0.8795055747032166,0.4147414267063141,0.6798199415206909,0.9365336298942566,0.7877822518348694,0.8736021518707275,0.5415477752685547,0.37518811225891113,0.3457401394844055,ptl_focal_objectosphere_20251210_060311
1612,0.44500216841697693,0.6358399987220764,0.5202383995056152,0.6659117937088013,0.7659834623336792,0.23812993429601192,0.8007947206497192,0.8789525628089905,0.42817413806915283,0.6606400609016418,0.9365304708480835,0.7866700291633606,0.8749051690101624,0.5398157238960266,0.38330602645874023,0.428265243768692,ptl_focal_objectosphere_20251210_060311
1935,0.4518585801124573,0.6384230256080627,0.5188736319541931,0.6683530807495117,0.7618452906608582,0.23409094288945198,0.800499439239502,0.8810018301010132,0.4258060157299042,0.6826956272125244,0.9364662170410156,0.7971493601799011,0.8793448209762573,0.5374225974082947,0.37720316648483276,0.48608264327049255,ptl_focal_objectosphere_20251210_060311
2258,0.4651641547679901,0.6268182396888733,0.5191018581390381,0.6671929359436035,0.7629551887512207,0.23000724706798792,0.7938803434371948,0.8793716430664062,0.44326698780059814,0.6851627826690674,0.9356858730316162,0.7906647324562073,0.8768446445465088,0.5196337103843689,0.3749575614929199,0.5411028265953064,ptl_focal_objectosphere_20251210_060311
2581,0.46678343415260315,0.6270208954811096,0.5214287042617798,0.6698636412620544,0.7619627714157104,0.22774268127977848,0.8008942008018494,0.8802123665809631,0.43169426918029785,0.6889021396636963,0.935329258441925,0.7874853014945984,0.877665102481842,0.5386720299720764,0.3901759088039398,0.5634809732437134,ptl_focal_objectosphere_20251210_060311
2904,0.42122596502304077,0.623073399066925,0.5278056859970093,0.66774982213974,0.7647861242294312,0.22306575952097774,0.805355429649353,0.8822182416915894,0.4350157082080841,0.6986138224601746,0.9359273910522461,0.7940443754196167,0.879419207572937,0.5254418253898621,0.38782036304473877,0.5782944560050964,ptl_focal_objectosphere_20251210_060311
3227,0.45736435055732727,0.6155434250831604,0.5249972343444824,0.6688374280929565,0.7626053690910339,0.2198717282153666,0.8040985465049744,0.880858838558197,0.4242791533470154,0.6789901256561279,0.9343419075012207,0.7872932553291321,0.8801791071891785,0.5512905120849609,0.39304450154304504,0.606374204158783,ptl_focal_objectosphere_20251210_060311
