_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name,pixel_embeddings_pca
320,0.3421486020088196,0.5741933584213257,0.4732520282268524,0.6463632583618164,0.7676909565925598,10.005348891019821,0.8157986998558044,0.8828664422035217,0.44779255986213684,0.5820456743240356,0.9468399882316589,0.8090572953224182,0.8922074437141418,0.5037921667098999,0.36503711342811584,0.16146916151046753,dml_objectosphere_20251211_110815,
643,0.27581900358200073,0.568649411201477,0.4687938988208771,0.6403447389602661,0.7680105566978455,9.982098899781704,0.8164964914321899,0.8830377459526062,0.4437536895275116,0.5841111540794373,0.9460902214050293,0.8117849230766296,0.8935453295707703,0.4923807680606842,0.3720080554485321,0.24451325833797455,dml_objectosphere_20251211_110815,
966,0.21319888532161713,0.5720881819725037,0.4627750515937805,0.6371827721595764,0.7680375576019287,9.83397763967514,0.8178536891937256,0.8829559087753296,0.4465959370136261,0.5899302959442139,0.9462170600891113,0.8113489747047424,0.8944502472877502,0.5073006749153137,0.3706231713294983,0.35002681612968445,dml_objectosphere_20251211_110815,
1289,0.27083495259284973,0.571890115737915,0.461180180311203,0.6417413353919983,0.769692599773407,9.779700681567192,0.8184904456138611,0.8839975595474243,0.4469410479068756,0.586053192615509,0.9463173747062683,0.8140000700950623,0.8949151039123535,0.50467449426651,0.3736499845981598,0.43357232213020325,dml_objectosphere_20251211_110815,
1612,0.21170641481876373,0.5758060216903687,0.4551692605018616,0.6375719308853149,0.7681611776351929,9.772795420140028,0.8168793320655823,0.8834800720214844,0.4585864245891571,0.5830549597740173,0.9463551640510559,0.8126086592674255,0.8937195539474487,0.4961555004119873,0.38675224781036377,0.4733777642250061,dml_objectosphere_20251211_110815,
1935,0.2648678719997406,0.5918995141983032,0.4606698453426361,0.6461527943611145,0.7686057686805725,9.692950278520584,0.8176396489143372,0.884368360042572,0.46346524357795715,0.6106909513473511,0.9462985992431641,0.8200921416282654,0.8940189480781555,0.49627313017845154,0.38109561800956726,0.4881339967250824,dml_objectosphere_20251211_110815,
2258,0.3851258456707001,0.583378791809082,0.4685540795326233,0.6563648581504822,0.7698320150375366,9.699034433811903,0.8170440793037415,0.8850099444389343,0.4725959300994873,0.6095430254936218,0.94584721326828,0.8186836242675781,0.8944737911224365,0.5011669993400574,0.38148707151412964,0.5042730569839478,dml_objectosphere_20251211_110815,
2581,0.3738369643688202,0.5857281684875488,0.468787282705307,0.6564940810203552,0.7705510854721069,9.660222060978413,0.8178631663322449,0.8850061893463135,0.4659216105937958,0.6131633520126343,0.946046769618988,0.8144923448562622,0.8954232335090637,0.5064875483512878,0.3911151587963104,0.5060873627662659,dml_objectosphere_20251211_110815,
2904,0.4100382328033447,0.5893376469612122,0.46750253438949585,0.6600936055183411,0.7707740664482117,9.612495608627796,0.8206254839897156,0.885295569896698,0.4697740077972412,0.6149014234542847,0.94646155834198,0.817171573638916,0.8957853317260742,0.49809977412223816,0.39544904232025146,0.5041234493255615,dml_objectosphere_20251211_110815,
3227,0.41615357995033264,0.5956867337226868,0.46505627036094666,0.6599898338317871,0.7710071802139282,9.661592468619347,0.8165400624275208,0.8842610120773315,0.46430400013923645,0.6043261885643005,0.9461122155189514,0.815532922744751,0.8951184749603271,0.5208835005760193,0.3848855197429657,0.5275263786315918,dml_objectosphere_20251211_110815,
3550,0.4458460807800293,0.5899993181228638,0.4652315378189087,0.6614605784416199,0.7716898918151855,9.701909646391869,0.8153136372566223,0.8836290240287781,0.46353262662887573,0.6152939796447754,0.9461401104927063,0.8134279251098633,0.8951237797737122,0.514298677444458,0.3794616162776947,0.5441469550132751,dml_objectosphere_20251211_110815,
3873,0.4766503572463989,0.5983920097351074,0.4627704322338104,0.6647056937217712,0.7721229791641235,9.69103716686368,0.8167896270751953,0.8842728734016418,0.47165971994400024,0.6171732544898987,0.9462994337081909,0.8188537955284119,0.8960591554641724,0.5011280179023743,0.37900155782699585,0.586954653263092,dml_objectosphere_20251211_110815,
4196,0.44524168968200684,0.5957593321800232,0.4690832793712616,0.6625181436538696,0.7717349529266357,9.665252346545458,0.8171039819717407,0.884331464767456,0.47440576553344727,0.6233516931533813,0.9462440013885498,0.8146893978118896,0.8952668905258179,0.4998587965965271,0.3756648004055023,0.5791348814964294,dml_objectosphere_20251211_110815,
4519,0.4842981994152069,0.5989024043083191,0.47143104672431946,0.6657744646072388,0.7740590572357178,9.734995771199465,0.8124467730522156,0.8831148743629456,0.4735628366470337,0.6155110001564026,0.9470009803771973,0.8168544769287109,0.8954859375953674,0.5071654319763184,0.3752352297306061,0.5672212243080139,dml_objectosphere_20251211_110815,
4842,0.5137719511985779,0.6061147451400757,0.4644090533256531,0.6666462421417236,0.7734166979789734,9.715301811695099,0.81428062915802,0.8843197822570801,0.4727497696876526,0.6149029731750488,0.946815550327301,0.8170809745788574,0.8958181738853455,0.49740368127822876,0.3653174936771393,0.5921770334243774,dml_objectosphere_20251211_110815,
5165,0.5136817693710327,0.6245020031929016,0.46808621287345886,0.6715235710144043,0.7737757563591003,9.706645499914885,0.8115407824516296,0.8831661939620972,0.47597354650497437,0.6295458078384399,0.9472687840461731,0.8254919648170471,0.8957540988922119,0.5093259811401367,0.371692419052124,0.5951859354972839,dml_objectosphere_20251211_110815,
5488,0.496511310338974,0.6131798028945923,0.4659142792224884,0.6666316390037537,0.7739802598953247,9.690475571900606,0.8159428238868713,0.8832574486732483,0.4676974415779114,0.6170528531074524,0.946864128112793,0.8193065524101257,0.896320104598999,0.4999840557575226,0.37019968032836914,0.5903807878494263,dml_objectosphere_20251211_110815,
5811,0.49627575278282166,0.6009404063224792,0.4637114703655243,0.664409339427948,0.7750071883201599,9.762346502393484,0.8136988878250122,0.883622407913208,0.46290895342826843,0.6091336011886597,0.946623682975769,0.8193999528884888,0.8956472277641296,0.4919677972793579,0.37838438153266907,0.6122455596923828,dml_objectosphere_20251211_110815,
6134,0.5231595635414124,0.6199246644973755,0.4726332426071167,0.6722974181175232,0.7741302251815796,9.67010397091508,0.8148577809333801,0.8831764459609985,0.4744669795036316,0.6247280836105347,0.9468823671340942,0.8218861222267151,0.8950049877166748,0.5093119144439697,0.37970319390296936,0.6092815399169922,dml_objectosphere_20251211_110815,
6457,0.5055688619613647,0.6030831933021545,0.46164795756340027,0.6654779314994812,0.7741129994392395,9.828065432608128,0.8115488290786743,0.8831213116645813,0.47062283754348755,0.6125853657722473,0.9460468888282776,0.8159275054931641,0.8959777355194092,0.4999849200248718,0.3709840476512909,0.5981851816177368,dml_objectosphere_20251211_110815,
6780,0.5148642659187317,0.6098636388778687,0.4654363989830017,0.6682773232460022,0.7756391167640686,9.776485525071621,0.8107858896255493,0.8831843733787537,0.46229323744773865,0.6160768270492554,0.9465992450714111,0.8141647577285767,0.8953372240066528,0.5140935778617859,0.37926626205444336,0.6028743386268616,dml_objectosphere_20251211_110815,
7103,0.5333535075187683,0.6131109595298767,0.46424558758735657,0.6721706390380859,0.77466881275177,9.742902018129826,0.8109334111213684,0.8835866451263428,0.47459110617637634,0.6207730174064636,0.9466738104820251,0.8166027665138245,0.8965481519699097,0.5155153870582581,0.38761499524116516,0.6343888640403748,dml_objectosphere_20251211_110815,
7426,0.5402935743331909,0.6052668690681458,0.4672471284866333,0.6699398756027222,0.7760512828826904,9.80975941941142,0.8115372061729431,0.882906973361969,0.47590091824531555,0.61464524269104,0.9459591507911682,0.8166173100471497,0.8967939615249634,0.5010542869567871,0.3749440908432007,0.6250174641609192,dml_objectosphere_20251211_110815,
7749,0.5005807280540466,0.6104642748832703,0.45829829573631287,0.6695635914802551,0.7770100235939026,9.807945188134909,0.8106225728988647,0.8818246722221375,0.4802809953689575,0.6116634011268616,0.9460974931716919,0.8188641667366028,0.8957836627960205,0.5223789215087891,0.39045700430870056,0.6231520175933838,dml_objectosphere_20251211_110815,
8072,0.5425114035606384,0.6172594428062439,0.45866015553474426,0.6683202981948853,0.7770150303840637,9.868055947124958,0.8111735582351685,0.8825284242630005,0.4622727036476135,0.5875453948974609,0.9465048909187317,0.8185052275657654,0.8964707255363464,0.5153392553329468,0.37237828969955444,0.6326898336410522,dml_objectosphere_20251211_110815,
8395,0.5348576903343201,0.6080832481384277,0.46057039499282837,0.6665546894073486,0.7762327790260315,9.898336287587881,0.8118218183517456,0.8817397356033325,0.4637083113193512,0.5908294916152954,0.945620596408844,0.8169650435447693,0.8964563608169556,0.5002931356430054,0.3780316710472107,0.6253013014793396,dml_objectosphere_20251211_110815,
8718,0.5560324192047119,0.6094610691070557,0.4612795412540436,0.6702555418014526,0.7786895632743835,9.821459781378508,0.8108407258987427,0.8816475868225098,0.4657379388809204,0.5962178707122803,0.9464680552482605,0.8155480027198792,0.8968120217323303,0.5193775296211243,0.3752092123031616,0.6363502740859985,dml_objectosphere_20251211_110815,
9041,0.5354235768318176,0.6164348721504211,0.4588514268398285,0.6687089800834656,0.7777743339538574,9.844364766031504,0.8112239837646484,0.8819316625595093,0.46653616428375244,0.5970332622528076,0.9465528726577759,0.8150689601898193,0.8962607979774475,0.5239098072052002,0.3662157654762268,0.6428214311599731,dml_objectosphere_20251211_110815,
9364,0.5501562356948853,0.6058427691459656,0.46195319294929504,0.6694725155830383,0.7763825058937073,9.931547120213509,0.8101971745491028,0.8807050585746765,0.4799123704433441,0.5989762544631958,0.946291983127594,0.8158818483352661,0.8969374299049377,0.5107172131538391,0.369187593460083,0.6415828466415405,dml_objectosphere_20251211_110815,
9687,0.5505097508430481,0.6106022000312805,0.4644409120082855,0.671508252620697,0.7774717211723328,9.877514898777008,0.8112785816192627,0.8816605806350708,0.470783531665802,0.606044590473175,0.9457359910011292,0.8159024119377136,0.8973963260650635,0.5245724320411682,0.3732072710990906,0.6442415714263916,dml_objectosphere_20251211_110815,
10010,0.5457938313484192,0.6202948689460754,0.46364346146583557,0.6723413467407227,0.7778370976448059,9.79743854701519,0.8137544393539429,0.8821924924850464,0.4739547371864319,0.6001627445220947,0.946108877658844,0.8182958364486694,0.8973318934440613,0.5271501541137695,0.3739173114299774,0.6363760828971863,dml_objectosphere_20251211_110815,wandb_downloads/vj09b8px/media/images/pixel_embeddings_pca_19056_7640efc9becdb5f17153.png
10333,0.549854040145874,0.6148421168327332,0.46334150433540344,0.670573890209198,0.7775288820266724,9.839192107319832,0.8139426112174988,0.8819748759269714,0.46525052189826965,0.5978536009788513,0.9468068480491638,0.817068874835968,0.8969924449920654,0.5214046835899353,0.37059906125068665,0.6504517793655396,dml_objectosphere_20251211_110815,
10656,0.5085439682006836,0.6150178909301758,0.46604102849960327,0.6662581562995911,0.7785869836807251,9.866597302258015,0.8095017075538635,0.8809401392936707,0.47072452306747437,0.5789012908935547,0.9471569657325745,0.8122643232345581,0.8965016603469849,0.5290831327438354,0.3680931329727173,0.6458114385604858,dml_objectosphere_20251211_110815,
10979,0.5489147305488586,0.6051613092422485,0.4561306834220886,0.6667556166648865,0.7783743739128113,9.996715858578682,0.805962324142456,0.8805665969848633,0.46476683020591736,0.5921019911766052,0.9465069770812988,0.8088319301605225,0.8965950012207031,0.5147941708564758,0.3691162168979645,0.6533594131469727,dml_objectosphere_20251211_110815,
11302,0.5443391799926758,0.6174691915512085,0.4533907175064087,0.6660871505737305,0.778156578540802,9.920943934470415,0.8107551336288452,0.8812475204467773,0.4690954089164734,0.5802869200706482,0.9463776350021362,0.8114062547683716,0.8962200284004211,0.516789972782135,0.3535982072353363,0.6369301676750183,dml_objectosphere_20251211_110815,
11625,0.5322153568267822,0.6101488471031189,0.45957401394844055,0.6656094789505005,0.777252197265625,9.827152706682682,0.811664342880249,0.8820635080337524,0.47378095984458923,0.5691384077072144,0.946969747543335,0.8111944198608398,0.8972354531288147,0.5265740752220154,0.3551115393638611,0.6560543179512024,dml_objectosphere_20251211_110815,
11948,0.5502995848655701,0.6173059940338135,0.4554172158241272,0.6680081486701965,0.7762425541877747,9.870928883552551,0.8126871585845947,0.8813002705574036,0.4678103029727936,0.5772720575332642,0.9460196495056152,0.8156927227973938,0.8961043357849121,0.5150951147079468,0.37285900115966797,0.6383904814720154,dml_objectosphere_20251211_110815,
12271,0.5445438027381897,0.6091340780258179,0.4532903730869293,0.6689473986625671,0.7780800461769104,9.924019187688828,0.8119770884513855,0.8812156319618225,0.47507309913635254,0.5877269506454468,0.9463567733764648,0.8174574971199036,0.8962850570678711,0.523999810218811,0.37117552757263184,0.6457101106643677,dml_objectosphere_20251211_110815,
12594,0.5595813393592834,0.6018474102020264,0.452694296836853,0.6689565777778625,0.777293860912323,9.891893431544304,0.8139990568161011,0.8812345266342163,0.4707891345024109,0.5966106653213501,0.9461583495140076,0.8137497901916504,0.8967934846878052,0.5123873353004456,0.3732956349849701,0.6493620276451111,dml_objectosphere_20251211_110815,
12917,0.5525614619255066,0.6046843528747559,0.4593436121940613,0.6679178476333618,0.7789981961250305,9.897497791796923,0.8126504421234131,0.8818849921226501,0.4739798605442047,0.578928530216217,0.9461798667907715,0.8131781220436096,0.8965664505958557,0.5120674967765808,0.3719088137149811,0.6471465229988098,dml_objectosphere_20251211_110815,
13240,0.5569220781326294,0.6187335252761841,0.44937488436698914,0.6700947284698486,0.7798922657966614,9.781431619077921,0.8156585097312927,0.8823286294937134,0.4690205454826355,0.5895020961761475,0.9475740194320679,0.8123734593391418,0.8958484530448914,0.5223996639251709,0.3716028332710266,0.6324325799942017,dml_objectosphere_20251211_110815,
13563,0.5418131947517395,0.6099412441253662,0.45516595244407654,0.6667866706848145,0.7783833742141724,9.933846794068813,0.8103968501091003,0.8820712566375732,0.4694342315196991,0.5763895511627197,0.9467608332633972,0.8156633377075195,0.8961725234985352,0.5094317197799683,0.3766021430492401,0.64817875623703,dml_objectosphere_20251211_110815,
13886,0.5600264072418213,0.6157451272010803,0.4601387679576874,0.6717568635940552,0.778942346572876,9.85305555537343,0.8128355145454407,0.882319450378418,0.47910717129707336,0.5850946307182312,0.9463229179382324,0.8129709362983704,0.8968431353569031,0.5240709185600281,0.37842074036598206,0.6246101260185242,dml_objectosphere_20251211_110815,
14209,0.5550955533981323,0.6115500926971436,0.44713878631591797,0.6677159667015076,0.7774316072463989,9.84570036828518,0.814324676990509,0.8822655081748962,0.4699903130531311,0.5860835313796997,0.9461268186569214,0.8176054358482361,0.8965582847595215,0.514278769493103,0.36185747385025024,0.6467929482460022,dml_objectosphere_20251211_110815,
14532,0.5495197772979736,0.6049132943153381,0.45008474588394165,0.6688420176506042,0.7785860896110535,9.863048136234283,0.8147493004798889,0.8823460936546326,0.4705815613269806,0.5911741256713867,0.9462183713912964,0.8090884685516357,0.8957007527351379,0.5249869227409363,0.37699630856513977,0.6635271906852722,dml_objectosphere_20251211_110815,
14855,0.5543425679206848,0.608774721622467,0.4445846676826477,0.6687784194946289,0.7786477208137512,9.85708186775446,0.8158034086227417,0.8822977542877197,0.4626259505748749,0.5858546495437622,0.9462518095970154,0.8109630346298218,0.8973763585090637,0.5240591764450073,0.3825370669364929,0.6637851595878601,dml_objectosphere_20251211_110815,
15178,0.5598374009132385,0.6092814207077026,0.44532912969589233,0.6677445769309998,0.7790634632110596,9.90035842359066,0.8135507106781006,0.8818168044090271,0.46517038345336914,0.5893585085868835,0.9466338157653809,0.8117886185646057,0.8967939615249634,0.5160462260246277,0.3660091757774353,0.6500217318534851,dml_objectosphere_20251211_110815,
15501,0.5528290271759033,0.6091568470001221,0.4506947696208954,0.6680408120155334,0.7793592810630798,9.883941732347012,0.8148317337036133,0.8814102411270142,0.46543848514556885,0.5826436877250671,0.9465129375457764,0.8098247647285461,0.8958306908607483,0.526296079158783,0.36970090866088867,0.6401278376579285,dml_objectosphere_20251211_110815,
15824,0.5553432106971741,0.6067018508911133,0.452448308467865,0.6673176884651184,0.7792653441429138,9.942674357444048,0.8120406866073608,0.8809917569160461,0.45945125818252563,0.5792928338050842,0.9466680288314819,0.8111517429351807,0.8958083987236023,0.5200530886650085,0.37591367959976196,0.6502061486244202,dml_objectosphere_20251211_110815,
16147,0.5576373338699341,0.6005876660346985,0.4478999078273773,0.6671144366264343,0.7781919836997986,9.904024578630924,0.8129743933677673,0.8812642693519592,0.4688916802406311,0.5842843055725098,0.9465953707695007,0.8047720193862915,0.89654541015625,0.5254114270210266,0.36743080615997314,0.646906852722168,dml_objectosphere_20251211_110815,
16470,0.5514512062072754,0.6075260043144226,0.44304314255714417,0.6665340065956116,0.7787911891937256,9.842112366110086,0.8152297735214233,0.8822000622749329,0.4657084345817566,0.5604223012924194,0.9472438097000122,0.806878924369812,0.896098256111145,0.5371324419975281,0.37321704626083374,0.6529922485351562,dml_objectosphere_20251211_110815,
16793,0.5571656227111816,0.6033486723899841,0.44684460759162903,0.666958749294281,0.7789840698242188,9.868031691759825,0.8151211738586426,0.8814916610717773,0.46251505613327026,0.5730758309364319,0.9467974305152893,0.8097929954528809,0.8959187269210815,0.5239677429199219,0.37543949484825134,0.6529614925384521,dml_objectosphere_20251211_110815,
17116,0.5343083739280701,0.5968208909034729,0.4465755522251129,0.6639321446418762,0.7786269187927246,10.042283847928047,0.810394823551178,0.8799184560775757,0.46598154306411743,0.5714467167854309,0.946444034576416,0.8020222783088684,0.8960731029510498,0.5252051949501038,0.3772997260093689,0.6519473195075989,dml_objectosphere_20251211_110815,
17439,0.5605865120887756,0.598187267780304,0.44319063425064087,0.6650353670120239,0.7788350582122803,9.979345478117466,0.8120922446250916,0.8809319138526917,0.4631507694721222,0.5538410544395447,0.947037398815155,0.804583728313446,0.8966750502586365,0.5277708768844604,0.3785765469074249,0.658122718334198,dml_objectosphere_20251211_110815,
17762,0.5562639236450195,0.5937133431434631,0.45479312539100647,0.6650251746177673,0.7780353426933289,9.942465480417013,0.8116384744644165,0.8809975385665894,0.461084246635437,0.5599139928817749,0.9462593793869019,0.805787980556488,0.8973045349121094,0.5244715809822083,0.37506306171417236,0.6649804711341858,dml_objectosphere_20251211_110815,
18085,0.5611110925674438,0.5894274115562439,0.44859305024147034,0.6650051474571228,0.7783192992210388,9.973356444388628,0.813179075717926,0.8810257315635681,0.4622458219528198,0.5645146369934082,0.946341335773468,0.8014810681343079,0.8969389200210571,0.528214156627655,0.3736744523048401,0.6642615795135498,dml_objectosphere_20251211_110815,
