_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.015187558718025684,0.25105735659599304,0.22160935401916504,0.45086583495140076,0.5339536666870117,0.7274955734610558,0.7577494382858276,0.8552556037902832,0.20228490233421326,0.2955027222633362,0.881127119064331,0.5152350664138794,0.7618134617805481,0.370653361082077,0.1998256891965866,more_decoder_channels_20251130_220352
643,0.0604868121445179,0.3230980336666107,0.3138039708137512,0.5084625482559204,0.6480075716972351,0.6879765959456563,0.7775589823722839,0.869595468044281,0.2372485101222992,0.4208560585975647,0.9069620370864868,0.5814473032951355,0.7974185943603516,0.4692119061946869,0.20431742072105408,more_decoder_channels_20251130_220352
966,0.12581898272037506,0.3231624960899353,0.350905179977417,0.5271293520927429,0.6386169791221619,0.6649737022817135,0.7892314195632935,0.8740602135658264,0.26915156841278076,0.48104244470596313,0.8999518156051636,0.6150045394897461,0.8173896670341492,0.42742252349853516,0.2409236878156662,more_decoder_channels_20251130_220352
1289,0.14954979717731476,0.3372601568698883,0.3651933968067169,0.5287424921989441,0.6795002222061157,0.6487788092344999,0.7670098543167114,0.8654943108558655,0.28966906666755676,0.4614366590976715,0.8985626101493835,0.6096155047416687,0.8344510793685913,0.42139238119125366,0.19451750814914703,more_decoder_channels_20251130_220352
1612,0.2500760555267334,0.3564153015613556,0.3878994286060333,0.5564050674438477,0.7006336450576782,0.6265012184157968,0.8066917061805725,0.864094078540802,0.307293564081192,0.4039641320705414,0.9005160331726074,0.6215192079544067,0.8167204856872559,0.5667610168457031,0.25068071484565735,more_decoder_channels_20251130_220352
1935,0.5595255494117737,0.3627179265022278,0.39120692014694214,0.591223418712616,0.692314863204956,0.6168015841394663,0.7978236675262451,0.8703579306602478,0.3134617805480957,0.4765383005142212,0.9125351905822754,0.7015423774719238,0.8370694518089294,0.5270728468894958,0.2437373548746109,more_decoder_channels_20251130_220352
2258,0.582577109336853,0.3848365843296051,0.4271102845668793,0.6107796430587769,0.7317582368850708,0.6116450093686581,0.8203524947166443,0.8758162260055542,0.3430951237678528,0.5365182757377625,0.9119454622268677,0.693655788898468,0.8495827317237854,0.5411201119422913,0.2417665421962738,more_decoder_channels_20251130_220352
2581,0.5834020972251892,0.37673038244247437,0.4226267635822296,0.6102995872497559,0.720008373260498,0.6231768014840782,0.7980731725692749,0.8720307350158691,0.36125651001930237,0.5378158688545227,0.918813169002533,0.727629542350769,0.8594740033149719,0.5035365223884583,0.25249701738357544,more_decoder_channels_20251130_220352
2904,0.4692886173725128,0.41006919741630554,0.43998897075653076,0.6118961572647095,0.7278461456298828,0.5993017889559269,0.8050517439842224,0.8752118349075317,0.3505140244960785,0.5479913353919983,0.9199780821800232,0.7489962577819824,0.8520810604095459,0.4744604229927063,0.3331717848777771,more_decoder_channels_20251130_220352
3227,0.6142001748085022,0.3775525689125061,0.453000545501709,0.6188542246818542,0.730307936668396,0.60866459319368,0.8053913116455078,0.8755640387535095,0.3525850772857666,0.5688385963439941,0.9178398847579956,0.7431164979934692,0.8683345317840576,0.4523298442363739,0.2860434353351593,more_decoder_channels_20251130_220352
3550,0.5360492467880249,0.4592391550540924,0.4160825312137604,0.6288750171661377,0.7418453097343445,0.5892483843490481,0.8181968331336975,0.8719955682754517,0.375204473733902,0.5594766736030579,0.9256037473678589,0.7232382893562317,0.8626749515533447,0.5265377759933472,0.3592304587364197,more_decoder_channels_20251130_220352
3873,0.564443826675415,0.4561733901500702,0.4544939398765564,0.6254237294197083,0.7029244899749756,0.5959309535101056,0.8251556158065796,0.8780476450920105,0.38293638825416565,0.586754322052002,0.9159526228904724,0.6813290119171143,0.8671110272407532,0.49656084179878235,0.31862545013427734,more_decoder_channels_20251130_220352
4196,0.598408579826355,0.5032297372817993,0.47034502029418945,0.6383901834487915,0.7412298917770386,0.583438974339515,0.8078629970550537,0.8744229078292847,0.41569387912750244,0.5438166856765747,0.9289992451667786,0.7179775834083557,0.8588277101516724,0.48228931427001953,0.3559684157371521,more_decoder_channels_20251130_220352
4519,0.5173074007034302,0.43687811493873596,0.48903512954711914,0.6355958580970764,0.7503581047058105,0.5882739461958408,0.813045859336853,0.8771817684173584,0.41593050956726074,0.6172303557395935,0.9246410131454468,0.7247467637062073,0.8696610331535339,0.4841209352016449,0.3426092863082886,more_decoder_channels_20251130_220352
4842,0.6415732502937317,0.45103582739830017,0.4925687909126282,0.6440208554267883,0.7566956877708435,0.5887677781283855,0.8050259351730347,0.8762179017066956,0.4028245508670807,0.6482945680618286,0.9342444539070129,0.7064043283462524,0.8734595775604248,0.44961488246917725,0.3343098759651184,more_decoder_channels_20251130_220352
5165,0.5769869089126587,0.49941757321357727,0.46124354004859924,0.6499947309494019,0.7377411723136902,0.5812864135950804,0.812677264213562,0.8795325756072998,0.4351234436035156,0.6394585371017456,0.9342620968818665,0.7367724776268005,0.879438042640686,0.509600818157196,0.34767651557922363,more_decoder_channels_20251130_220352
