_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.00451276870444417,0.20563793182373047,0.0,0.367549866437912,0.3295114040374756,0.8357456624507904,0.7345902919769287,0.8697189092636108,0.17003792524337769,0.15977783501148224,0.8510947823524475,0.41405704617500305,0.7369018197059631,0.15964175760746002,0.1426655650138855,imagenet_normalize_20251202_072552
643,0.01077406294643879,0.3100831210613251,0.0,0.44385796785354614,0.47069719433784485,0.7287518046796322,0.7722481489181519,0.879943311214447,0.2248573899269104,0.3299716114997864,0.8808494806289673,0.490090012550354,0.7825278043746948,0.39333298802375793,0.22477847337722778,imagenet_normalize_20251202_072552
966,0.053583547472953796,0.3808164894580841,0.0,0.4848001003265381,0.5729058384895325,0.672475129365921,0.7774889469146729,0.8815589547157288,0.24515342712402344,0.46400418877601624,0.8914934396743774,0.5509005188941956,0.8189979195594788,0.4212088882923126,0.24428871273994446,imagenet_normalize_20251202_072552
1289,0.0982605442404747,0.3573034107685089,0.0,0.48369258642196655,0.6511556506156921,0.6553914453834295,0.7709513902664185,0.8764281868934631,0.25565293431282043,0.4381331205368042,0.8972169160842896,0.585748553276062,0.81058669090271,0.34375089406967163,0.20281510055065155,imagenet_normalize_20251202_072552
1612,0.26571446657180786,0.48412182927131653,0.0,0.5299941301345825,0.6587201952934265,0.6290847463533282,0.782864511013031,0.8766751885414124,0.3015194237232208,0.46144339442253113,0.9155289530754089,0.6396420001983643,0.8299522995948792,0.43708890676498413,0.23665161430835724,imagenet_normalize_20251202_072552
1935,0.36037614941596985,0.4777616858482361,0.0,0.5547197461128235,0.6846796274185181,0.6093577733263373,0.7930771708488464,0.8651248812675476,0.3149093985557556,0.4573529064655304,0.9154664874076843,0.6871882677078247,0.8107692003250122,0.5181900262832642,0.3264603614807129,imagenet_normalize_20251202_072552
2258,0.48288634419441223,0.4838870167732239,0.0,0.5704160928726196,0.706692636013031,0.6130806808359921,0.7929445505142212,0.8758276104927063,0.3264326751232147,0.5334023833274841,0.9143568873405457,0.6660650372505188,0.8492586016654968,0.5010900497436523,0.2825648784637451,imagenet_normalize_20251202_072552
2581,0.2964313328266144,0.5119069218635559,0.22850576043128967,0.5816835761070251,0.7141838669776917,0.6259827157482505,0.8109797835350037,0.8798596262931824,0.3403640687465668,0.516514241695404,0.9252678155899048,0.6935732364654541,0.8473055958747864,0.4986405670642853,0.29835253953933716,imagenet_normalize_20251202_072552
2904,0.5033842921257019,0.4213886260986328,0.35833290219306946,0.5983286499977112,0.713714063167572,0.6225698892958462,0.8093297481536865,0.8734068274497986,0.32733622193336487,0.5285593271255493,0.9208275079727173,0.7066150307655334,0.8517162203788757,0.4566420018672943,0.3070193827152252,imagenet_normalize_20251202_072552
3227,0.474645733833313,0.4300498962402344,0.3909710645675659,0.5844444632530212,0.7113532423973083,0.631041987799108,0.794768214225769,0.8760466575622559,0.3756066560745239,0.5110006928443909,0.9190521836280823,0.6924600005149841,0.8500310182571411,0.34853237867355347,0.22326014935970306,imagenet_normalize_20251202_072552
