_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,run_name
320,0.010757366195321083,0.2074359953403473,0.08261871337890625,0.3737655282020569,0.35957038402557373,0.8212295258417726,0.7112241983413696,0.861489474773407,0.1285538673400879,0.1349971741437912,0.8322054743766785,0.37656649947166443,0.7777791619300842,0.21272122859954834,0.16303199529647827,no_photometric_20251202_110629
643,0.07805660367012024,0.2774454653263092,0.26345309615135193,0.46696189045906067,0.5606029629707336,0.7528635170310736,0.766577422618866,0.8666749000549316,0.20426945388317108,0.27576616406440735,0.8894767165184021,0.5032513737678528,0.8065135478973389,0.37007349729537964,0.20834273099899292,no_photometric_20251202_110629
966,0.1857527196407318,0.33101627230644226,0.32802778482437134,0.5117460489273071,0.6083389520645142,0.6990410294383764,0.7810348868370056,0.8716734051704407,0.24432846903800964,0.35598334670066833,0.9008828997612,0.555471658706665,0.8242314457893372,0.42570894956588745,0.24024732410907745,no_photometric_20251202_110629
1289,0.12991754710674286,0.3807451128959656,0.3382354974746704,0.5125385522842407,0.5495073795318604,0.6676355097442865,0.778457522392273,0.872474193572998,0.25248056650161743,0.37529096007347107,0.8914585113525391,0.5420264005661011,0.8343448042869568,0.429514080286026,0.28854823112487793,no_photometric_20251202_110629
1612,0.15684814751148224,0.3869573771953583,0.3864409327507019,0.5358132123947144,0.6592164039611816,0.6500862026587129,0.7911126613616943,0.874403715133667,0.27143484354019165,0.42190277576446533,0.9056625366210938,0.6153013706207275,0.8471445441246033,0.40073078870773315,0.24841515719890594,no_photometric_20251202_110629
1935,0.5984742045402527,0.42248228192329407,0.3781428039073944,0.5851653218269348,0.6527978181838989,0.6370676700025797,0.7892213463783264,0.8680219054222107,0.2849809527397156,0.4479774832725525,0.9124099016189575,0.6692256331443787,0.8438742756843567,0.4380740821361542,0.3014664947986603,no_photometric_20251202_110629
2258,0.44147083163261414,0.3844132125377655,0.4070999324321747,0.5885198712348938,0.6810248494148254,0.6339394962415099,0.8078843951225281,0.8708117008209229,0.3174852728843689,0.4804483950138092,0.9160928726196289,0.6797098517417908,0.8576032519340515,0.4797619581222534,0.32695168256759644,no_photometric_20251202_110629
2581,0.5905866026878357,0.3598700761795044,0.4075465202331543,0.5895358920097351,0.698664665222168,0.6384736751206219,0.7910288572311401,0.8750692009925842,0.32128241658210754,0.4782446026802063,0.9160424470901489,0.6844791173934937,0.8585092425346375,0.4424649477005005,0.24017757177352905,no_photometric_20251202_110629
2904,0.47479376196861267,0.3711293935775757,0.4268893301486969,0.5940195918083191,0.6623533964157104,0.6383397737517953,0.8066930770874023,0.8732136487960815,0.3167424499988556,0.5054254531860352,0.9147678017616272,0.7204706072807312,0.8582298755645752,0.4789177179336548,0.3126281499862671,no_photometric_20251202_110629
3227,0.431634783744812,0.37026113271713257,0.44208264350891113,0.6016468405723572,0.7148959636688232,0.6209674747660756,0.7965959310531616,0.8785296678543091,0.35579389333724976,0.5373717546463013,0.9198495745658875,0.717747688293457,0.8655681610107422,0.47348323464393616,0.31759417057037354,no_photometric_20251202_110629
3550,0.6081127524375916,0.42218923568725586,0.46524712443351746,0.6304906010627747,0.7164775133132935,0.6101307435892522,0.8286848068237305,0.8785046935081482,0.359081894159317,0.48773565888404846,0.9215840101242065,0.7608293890953064,0.8627980947494507,0.5178189873695374,0.36731383204460144,no_photometric_20251202_110629
3873,0.548505425453186,0.4604417681694031,0.4624277949333191,0.6299182176589966,0.7375451326370239,0.6154956133104861,0.8320748805999756,0.881534218788147,0.3540915548801422,0.5568473935127258,0.9213258028030396,0.7209057211875916,0.8689857125282288,0.5025966167449951,0.3416535556316376,no_photometric_20251202_110629
4196,0.6131085157394409,0.3830861449241638,0.46276265382766724,0.622616708278656,0.7281407117843628,0.6195014319382608,0.8135705590248108,0.8770998120307922,0.3642164170742035,0.5582256317138672,0.9220854640007019,0.7212331295013428,0.8667309880256653,0.4611983299255371,0.322558730840683,no_photometric_20251202_110629
