_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name
320,0.5850608944892883,0.5676862597465515,0.5280833840370178,0.6711041331291199,0.7666482925415039,0.0535000046947971,0.8226768970489502,0.8809061646461487,0.46388667821884155,0.685187041759491,0.9384087324142456,0.7845061421394348,0.8748711943626404,0.4707438349723816,0.3556881844997406,0.40665748715400696,ood_bce_20251207_233108
642,0.593159019947052,0.5576175451278687,0.5254424810409546,0.6697199940681458,0.7637261152267456,0.0323783187486697,0.8189964294433594,0.8798425793647766,0.4648423194885254,0.6837742328643799,0.9369874000549316,0.7874526977539062,0.8778265714645386,0.4558990001678467,0.36079439520835876,0.4580073654651642,ood_bce_20251207_233108
964,0.5739829540252686,0.5579081773757935,0.5289286971092224,0.6682648658752441,0.7613824009895325,0.028479516156949103,0.8213410377502441,0.8798796534538269,0.46176451444625854,0.6849313974380493,0.9368239045143127,0.7897642254829407,0.8769118785858154,0.4671822488307953,0.3466416299343109,0.4804401099681854,ood_bce_20251207_233108
1286,0.6047834157943726,0.5569108724594116,0.5298514366149902,0.6711759567260742,0.7644727826118469,0.027647056864225306,0.8221930861473083,0.8787474036216736,0.45925772190093994,0.6878528594970703,0.9369040727615356,0.7942582368850708,0.8771999478340149,0.4629877805709839,0.3498677909374237,0.512771725654602,ood_bce_20251207_233108
1608,0.5903026461601257,0.5605878829956055,0.5239867568016052,0.6693913340568542,0.7633455395698547,0.0298841095645912,0.8213184475898743,0.8803229331970215,0.4707633852958679,0.6749308109283447,0.9373727440834045,0.7846039533615112,0.8760349750518799,0.45785534381866455,0.3606613278388977,0.48831358551979065,ood_bce_20251207_233108
1930,0.5977342128753662,0.563396155834198,0.5292038321495056,0.6710543036460876,0.7624039649963379,0.02982555933704134,0.8222880959510803,0.879666268825531,0.4591723084449768,0.6784675121307373,0.9371362328529358,0.7938881516456604,0.8779858946800232,0.4608168601989746,0.36154627799987793,0.49917206168174744,ood_bce_20251207_233108
2252,0.5954869985580444,0.5603707432746887,0.5272001028060913,0.6705131530761719,0.7586289048194885,0.030554474200471304,0.8164467811584473,0.8804773092269897,0.4804370403289795,0.6891303658485413,0.9364728331565857,0.7912374138832092,0.8753395676612854,0.46253693103790283,0.3429063558578491,0.5309983491897583,ood_bce_20251207_233108
2574,0.5995597839355469,0.5550370216369629,0.5282528400421143,0.6706271767616272,0.7616552710533142,0.04556163512461353,0.8196332454681396,0.8803817629814148,0.4578026533126831,0.6883671283721924,0.9370993375778198,0.7855150699615479,0.8760523200035095,0.4711672067642212,0.35762935876846313,0.4732680022716522,ood_bce_20251207_233108
2896,0.580300509929657,0.558073878288269,0.5250585079193115,0.668746829032898,0.7653334140777588,0.04458362281729933,0.8243277072906494,0.8800718188285828,0.4625818729400635,0.6845285296440125,0.9382612109184265,0.794343888759613,0.8769779801368713,0.4466303884983063,0.35721850395202637,0.48088544607162476,ood_bce_20251207_233108
3218,0.5928184390068054,0.557018518447876,0.5259130001068115,0.6695965528488159,0.7610905170440674,0.04279657876759302,0.8200825452804565,0.8804768323898315,0.4581852853298187,0.6758249402046204,0.9366985559463501,0.782550036907196,0.877082347869873,0.47876423597335815,0.35824939608573914,0.4688093960285187,ood_bce_20251207_233108
