_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name
320,0.5065454244613647,0.5590754747390747,0.5474633574485779,0.6660602688789368,0.7644420266151428,0.5627434230409563,0.8207123279571533,0.8817120790481567,0.45131850242614746,0.6767973899841309,0.9375535249710083,0.7741437554359436,0.8759445548057556,0.47458136081695557,0.38849273324012756,0.11849440634250641,ptl_dice_objectosphere_20251208_175424
643,0.4676133394241333,0.5494105815887451,0.5461413860321045,0.6610703468322754,0.7621078491210938,0.5031579080969095,0.8178104162216187,0.8806759119033813,0.4506908357143402,0.6665166616439819,0.9357696771621704,0.7786610722541809,0.8773493766784668,0.45974889397621155,0.40141767263412476,0.16138555109500885,ptl_dice_objectosphere_20251208_175424
966,0.40724876523017883,0.5537455081939697,0.5482947826385498,0.6568558216094971,0.758181095123291,0.46558060916140676,0.8203362822532654,0.8806930780410767,0.45208296179771423,0.6631158590316772,0.9360037446022034,0.7802254557609558,0.8776408433914185,0.4712584614753723,0.39029863476753235,0.27032122015953064,ptl_dice_objectosphere_20251208_175424
1289,0.43851351737976074,0.560783863067627,0.5469874143600464,0.6600528359413147,0.763607382774353,0.4441776117309928,0.8180090188980103,0.8796878457069397,0.45013055205345154,0.6676844954490662,0.9363034963607788,0.7849284410476685,0.8784708380699158,0.4653478264808655,0.39023247361183167,0.40388214588165283,ptl_dice_objectosphere_20251208_175424
1612,0.4309892952442169,0.5635446906089783,0.5414153933525085,0.6565171480178833,0.7619314193725586,0.42305084969848394,0.8163821697235107,0.8807250261306763,0.4673154950141907,0.6242974996566772,0.9369844794273376,0.7821833491325378,0.8779705762863159,0.45261237025260925,0.39837056398391724,0.5025016665458679,ptl_dice_objectosphere_20251208_175424
1935,0.45560747385025024,0.5669280290603638,0.5441652536392212,0.6634339094161987,0.7604836821556091,0.4198419083841145,0.8199838399887085,0.8814214468002319,0.462228924036026,0.6675585508346558,0.9370171427726746,0.7903565764427185,0.8795165419578552,0.45520368218421936,0.4041694700717926,0.5447511076927185,ptl_dice_objectosphere_20251208_175424
2258,0.4681844711303711,0.5644792318344116,0.541645884513855,0.6640868782997131,0.7590820789337158,0.4111018721014261,0.8115828037261963,0.8809891939163208,0.4894689917564392,0.6721436381340027,0.9362715482711792,0.7910853624343872,0.8784550428390503,0.4512232542037964,0.3885182738304138,0.5715315341949463,ptl_dice_objectosphere_20251208_175424
2581,0.42833998799324036,0.5639371275901794,0.5436480045318604,0.662682056427002,0.7617809176445007,0.4102410562336445,0.8189843893051147,0.8813173770904541,0.4736732840538025,0.6751711964607239,0.9364402294158936,0.7873055338859558,0.8792608380317688,0.45802995562553406,0.40697720646858215,0.5869089961051941,ptl_dice_objectosphere_20251208_175424
2904,0.41810664534568787,0.5685127377510071,0.5449968576431274,0.664191722869873,0.7694428563117981,0.4062291858717799,0.8240008354187012,0.8814411759376526,0.4842514395713806,0.6685680747032166,0.9374756217002869,0.7964823246002197,0.8800444006919861,0.44817471504211426,0.4129940867424011,0.596295952796936,ptl_dice_objectosphere_20251208_175424
3227,0.4694312810897827,0.5717443227767944,0.5441845655441284,0.6685980558395386,0.7691089510917664,0.40133969811722636,0.8204986453056335,0.8812954425811768,0.48197802901268005,0.6561228632926941,0.9359869956970215,0.7867999076843262,0.8801705837249756,0.4797200858592987,0.41473332047462463,0.6234230399131775,ptl_dice_objectosphere_20251208_175424
