_step,val/IoU_class_4_epoch,val/IoU_class_2_epoch,val/IoU_class_12_epoch,val/mIoU_epoch,val/IoU_class_6_epoch,val/loss_epoch,val/IoU_class_1_epoch,val/IoU_class_0_epoch,val/IoU_class_5_epoch,val/IoU_class_10_epoch,val/IoU_class_7_epoch,val/IoU_class_8_epoch,val/IoU_class_9_epoch,val/IoU_class_11_epoch,val/IoU_class_3_epoch,val/OoDAUPR_epoch,run_name
320,0.5724875330924988,0.573960542678833,0.5415688157081604,0.6570077538490295,0.7770900130271912,0.416091229300946,0.8084830641746521,0.8770470023155212,0.3940662741661072,0.5798474550247192,0.9406363368034363,0.7568643093109131,0.8673185706138611,0.4768097698688507,0.3749206066131592,0.11913880705833435,ptl_focal_dice_objectosphere_20251210_112342
643,0.5356956124305725,0.5652031302452087,0.5354635119438171,0.6535515189170837,0.7756329774856567,0.37918967194855213,0.8085912466049194,0.8772258162498474,0.40274810791015625,0.5631000399589539,0.9395676255226135,0.7689299583435059,0.8702419400215149,0.46785759925842285,0.38591113686561584,0.1529301106929779,ptl_focal_dice_objectosphere_20251210_112342
966,0.4854821264743805,0.571242094039917,0.537043571472168,0.6529666781425476,0.7777696251869202,0.3541168300434947,0.8113409876823425,0.877795934677124,0.4055139422416687,0.5706603527069092,0.9406419992446899,0.772930920124054,0.8718391060829163,0.48817119002342224,0.3781345784664154,0.2556353807449341,ptl_focal_dice_objectosphere_20251210_112342
1289,0.494477778673172,0.5676134824752808,0.5331695675849915,0.6522637605667114,0.7810533046722412,0.3417990105226636,0.8121469020843506,0.8789488077163696,0.4116688668727875,0.5659936666488647,0.9411768913269043,0.7833537459373474,0.8743657469749451,0.46998730301856995,0.36547255516052246,0.3899247646331787,ptl_focal_dice_objectosphere_20251210_112342
1612,0.42912036180496216,0.5780130624771118,0.5294296145439148,0.6433581709861755,0.7805725336074829,0.3255679802969098,0.8147637844085693,0.8817837238311768,0.43266934156417847,0.4837941527366638,0.9416231513023376,0.7687647342681885,0.8743094205856323,0.47798222303390503,0.3708299994468689,0.48735564947128296,ptl_focal_dice_objectosphere_20251210_112342
1935,0.45140892267227173,0.5812876224517822,0.5265843272209167,0.651347815990448,0.780332624912262,0.3217508657835424,0.8141384124755859,0.880794107913971,0.4324359893798828,0.5730275511741638,0.9405667185783386,0.7894225716590881,0.8771604895591736,0.46163174510002136,0.35873088240623474,0.5306130051612854,ptl_focal_dice_objectosphere_20251210_112342
2258,0.49244317412376404,0.5820326209068298,0.5311830043792725,0.6587004065513611,0.7799921035766602,0.3173391940072179,0.8119933605194092,0.879875659942627,0.4468553066253662,0.5995898246765137,0.9400541186332703,0.7824062705039978,0.8755804300308228,0.48490649461746216,0.3561919033527374,0.5718488693237305,ptl_focal_dice_objectosphere_20251210_112342
2581,0.46853309869766235,0.5888830423355103,0.5335129499435425,0.6581680774688721,0.7837430238723755,0.3174354415386915,0.8114854693412781,0.8802551031112671,0.44217005372047424,0.6000498533248901,0.9401719570159912,0.7759804725646973,0.8756175637245178,0.48661187291145325,0.3691701889038086,0.5778977274894714,ptl_focal_dice_objectosphere_20251210_112342
2904,0.46610957384109497,0.5974554419517517,0.5354222655296326,0.6638521552085876,0.7840702533721924,0.31107012648135424,0.8187096118927002,0.8816720247268677,0.45394739508628845,0.6348323822021484,0.9401530623435974,0.7881635427474976,0.8758560419082642,0.482059508562088,0.3716256320476532,0.585211992263794,ptl_focal_dice_objectosphere_20251210_112342
3227,0.501558780670166,0.5955138802528381,0.5393531322479248,0.6674628257751465,0.7871218919754028,0.3090650513768196,0.8139916062355042,0.8818778395652771,0.4558517336845398,0.635246753692627,0.9390939474105835,0.7782780528068542,0.8770051598548889,0.4981923997402191,0.3739309310913086,0.6127328872680664,ptl_focal_dice_objectosphere_20251210_112342
